#code+wikidata,#meta+url,#vocab+name+i_ara+iso15924_arab+rtl,#vocab+name+i_rus+iso15924_cyrl+ltr,#vocab+name+i_lat+iso15924_latn+ltr,#vocab+name+i_zho+iso15924_hans+ltr,#vocab+name+i_mis+iso15924_zsye+ltr,#vocab+name+i_mis+iso15924_zsye+rtl,#vocab+name+i_mis+iso15924_zsye+ttb,#vocab+name+iso15924_zmth,#vocab+name+i_eng+iso15924_latn+ltr,#vocab+name+i_fra+iso15924_latn+ltr,#vocab+name+i_por+iso15924_latn+ltr,#vocab+name+i_spa+iso15924_latn+ltr
Q48791805,https://en.wikipedia.org/wiki/Common_Operational_Datasets,,,Commūne Opus Datum,,🇺🇳💾,💾🇺🇳,"🇺🇳
💾",{∪},Common Operational Datasets,,,
Q48791805,https://en.wikipedia.org/wiki/Common_Operational_Datasets#Core_Common_Operational_Datasets,,,,,🇺🇳💾❤️, ❤️💾🇺🇳,"🇺🇳
💾
❤️",,Core Common Operational Datasets,,,
Q48791805,https://en.wikipedia.org/wiki/Common_Operational_Datasets#Administrative_Boundaries_(COD-AB),,,,,🇺🇳💾🌐,🌐💾🇺🇳,"🇺🇳
💾
🌐",,Administrative Boundaries (COD-AB),,,
Q48791805,https://en.wikipedia.org/wiki/Common_Operational_Datasets#Population_Statistics_(COD-PS),,,,,🇺🇳💾☺️🧮,🧮☺️💾🇺🇳,"🇺🇳
💾
☺️
🧮",,Population Statistics (COD-PS),,,
Q48791805,https://en.wikipedia.org/wiki/Common_Operational_Datasets#Humanitarian_Profile_(COD-HP),,,,,,,,,Humanitarian Profile (COD-HP),,,
?,https://en.wikipedia.org/wiki/Common_Operational_Datasets#P-codes,,,Locum codicem,,🇺🇳🧭🇺🇳,🇺🇳🧭🇺🇳,"🇺🇳
🧭
🇺🇳",,P-Codes,,,
Q1172284,https://github.com/EticaAI/HXL-Data-Science-file-formats/blob/main/ontologia/core.vkg.yml,مجموعة بيانات,Ирисы Фишера,Datum,数据集,💾,💾,,{ },Data set,Jeu de données,Conjunto de datos,Conjunto de dados
